"nombre_local","estacionalidad","especie_id"
"Caimán, caimán de anteojos","Residente","Caiman crocodilus"
"Cocodrilo","Residente","Crocodylus acutus"
"Tortuga prieta, tortuga negra, tortuga verde","Residente","Chelonia mydas"
"Tortuga carey","Residente","Eretmochelys imbricata"
"Tortuga golfina","Residente","Lepidochelys olivacea"
"Tortuga baule","Residente","Dermochelys coriacea"
"Jicotea","Residente","Trachemys emolli"
"Tortuga pintada, tortuga de bosque","Residente","Rhinoclemmys pulcherrima"
"Tortuga candado","Residente","Kinosternon scorpioides"
"Tortuga chamarro, tortuga cabezona, tortuga bikini","Residente","Staurotypus salvinii"
"Dragoncillo de Montecristo","Residente","Abronia montecristoi"
"Dragoncillo","Residente","Celestus bivittatus"
"Dragoncito liso de montaña","Residente","Mesaspis moreletii"
"Tenguereche","Residente","Basiliscus vittatus"
"Tenguereche bobo cotete","Residente","Corytophanes percarinatus"
"Lagartija montana vientre aquillado, bebeleche","Residente","Anolis crassulus"
"Bebeleche de bosque","Residente","Anolis macrophallus"
"Bebeleche de serrano","Residente","Anolis serranoi"
"Lagartija montana vientre liso, bebeleche","Residente","Anolis sminthus"
"Lagartija de tierra, bebeleche","Residente","Anolis mccraniei"
"Bebeleche punto azul","Residente","Anolis wellbornae"
"Gecko leopardo","Residente","Coleonyx elegans"
"Gecko besucón","Introducido, Residente","Hemidactylus frenatus"
"Lagartija","Residente","Gymnophthalmus speciosus"
"Garrobo espinoso, tenamaste","Residente","Ctenosaura flavidorsalis"
"Garrobo jiote, iguana negra, iguana jiota","Residente","Ctenosaura similis"
"Iguana, Iguana verde, iguana dorada, Iguana colorada","Residente","Iguana iguana"
"Talconete","Residente","Sceloporus malachiticus"
"Piporrita, lagartija espinosa","Residente","Sceloporus squamosus"
"Lagartija espinosa vientre rosado","Residente","Sceloporus variabilis"
"Gecko tuberculoso, salamanquesa","Residente","Phyllodactylus tuberculosus"
"Salarmarqueza","Residente","Marisora brachypoda"
"Lagartija de rayo","Residente","Mesoscincus managuae"
"Cantil","Residente","Gonatodes albogularis"
"Gecko enano","Residente","Sphaerodactylus glaucus"
"Lagartija pintada, cochosa, ameiva arcoiris","Residente","Holcosus undulatus"
"Corredor rayado","Residente","Aspidoscelis deppii"
"Lagartija nocturna de Smith, escorpión, escorpión negro del pacífico","Residente","Lepidophyma smithii"
"Masacuata","Residente","Boa imperator"
"Sumbadora de pestañas","Residente","Drymarchon melanurus"
"Tamagás verde","Residente","Drymobius chloroticus"
"Culebra corredora de petatillos","Residente","Drymobius margaritiferus"
"Falsa coral roja","Residente","Lampropeltis abnorma"
"Culebra perico Mexicana","Residente","Leptophis mexicanus"
"Chocoya montana, tamagás verde","Residente","Leptophis modestus"
"Zumbadora","Residente","Masticophis mentovarius"
"Lagartijera, tamagás verde","Residente","Mastigodryas dorsalis"
"Lagartija lisa olivacea, tamagás","Residente","Mastigodryas melanolomus"
"Bejuquilla café","Residente","Oxybelis aeneus"
"Bejuquilla verde","Residente","Oxybelis fulgidus"
"Coral anillado, coral nixto","Residente","Scaphiodontophis annulatus"
"Culebra oliva","Residente","Senticolis triaspis"
"Chichicua","Residente","Spilotes pullatus"
"Traga ciempiés cabeza negra","Residente","Tantilla armillata"
"Culebra de Merters","Residente","Tantilla brevicauda"
"Traga ciempiés rayada","Residente","Tantilla taeniata"
"Traga ciempiés lombriz","Residente","Tantilla vermiformis"
"Serpiente lira","Residente","Trimorphodon quadruplex"
"Culebra vientre amarillo","Residente","Coniophanes fissidens"
"Cotina, culebra rayada","Residente","Coniophanes picievittis"
"Lagartijera de Neverman","Residente","Crisantophis nevermanni"
"Culebra guarda caminos","Residente","Conophis lineatus"
"Collareja, falso coralillo","Residente","Enulius flavitorques"
"Culebrita manchas amarillas","Residente","Geophis fulvoguttatus"
"Culebrita","Residente","Geophis rhodogaster"
"Culebra hilo","Residente","Imantodes gemmistratus"
"Falsa coral negro","Residente","Leptodeira nigrofasciata"
"Serpiente ojos de gato","Residente","Leptodeira rhombifera"
"Culebra ojos de gato norteña","Residente","Leptodeira septentrionalis"
"Bejuquilla de cabeza verde, bejuquilla verde","Residente","Leptodrymus pulcherrimus"
"Gargantilla de espinal","Residente","Ninia espinali"
"Culebrilla de cafetal","Residente","Ninia sebae"
"Falso coral","Residente","Pliocercus elapoides"
"Hojarrasquera de Godman","Residente","Rhadinella godmani"
"Hojarrasquera rayada","Residente","Rhadinella kinkelini"
"Hojarrasquera de Montecristo","Residente","Rhadinella montecristi"
"Hojarrasquera del pacifico","Residente","Rhadinella pilonaorum"
"Tragababosa, falsa Coral","Residente","Sibon anthracops"
"Caracolera","Residente","Sibon carri"
"Caracolera cordel negro","Residente (nueva especie)","Sibon dimidiatus"
"Tragababosa Jaspeada","Residente","Sibon nebulatus"
"Culebra de banda negra","Residente","Scolecophis atrocinctus"
"Culebra alacranera de sangre","Residente","Stenorrhina freminvillie"
"Tragababosa montana","Residente","Tropidodipsas fischeri"
"Culebra caracolera terrestres","Residente","Tropidodipsas sartorii"
"Tamagás","Residente","Thamnophis fulvus"
"Culebra listonada occidental","Residente","Thamnophis proximus"
"Serpiente marina amarilla","Residente","Hydrophis platurus"
"Serpiente marina anillada","Posible","Laticauda colubrina"
"Coral verdadero","Residente","Micrurus nigrocinctus"
"Culebrita ciega, hormigueras","Residente","Epictia phenops"
